구,시설명,주소,Latitude,Longitude,법정동(EDM_NM)
도봉구,도봉구보건소,서울특별시 도봉구 방학로3길 117,37.6563598,127.0387723,쌍문동
도봉구,장애인단체연합회,서울특별시 도봉구 도봉로 575,37.6686287,127.0470496,방학동
도봉구,도봉구청(1층),서울특별시 도봉구 마들로 656,37.6663079,127.0444088,방학동
도봉구,방학역(2번 출구),서울특별시 도봉구 도봉로150다길 3,37.6431857,127.0454182,쌍문동
도봉구,녹천역(2번 출구),서울특별시 도봉구 덕릉로 376,37.6431857,127.0454182,창동
동작구,총신대역,동작구 동작대로 117,37.4875138,126.9821618,사당동
동작구,대방동 주민센터,여의대방로44길 20,37.508088,126.9262477,대방동
동작구,신대방2동 주민센터,동작구 여의대방로24길 76,37.4983559,126.9243729,신대방동
동작구,동작역,현충로 257,37.5034647,126.9799265,동작동
동작구,이수역,동작구 사당로 310,37.4849508,126.980963,사당동
동작구,사당4동 주민센터,사당로16아길 6,37.4809167,126.9714807,사당동
동작구,사당5동 주민센터,사당로2가길 219,37.4856158,126.9669589,사당동
동작구,상도1동 주민센터,상도로53길 9,37.498044,126.9530483,상도동
동작구,흑석동 주민센터,흑석한강로 11,37.5057277,126.9665281,흑석동
마포구,노을공원 탐방안내소,서울특별시 마포구 하늘공원로 84,37.5674467,126.885455,상암동
마포구,평화의공원 정문,서울특별시 마포구 월드컵로 243-60,37.5642503,126.8975812,상암동
마포구,마포구청,서울특별시 마포구 월드컵로 212,37.5663123,126.9020797,성산동
마포구,마포장애인종합복지관,서울특별시 마포구 월드컵로 213,37.5653602,126.9007592,성산동
마포구,마포장애인자립생활센터,서울특별시 마포구 월드컵로 196,37.5647641,126.9027386,성산동
마포구,합정역(10번 출구),서울특별시 마포구 마포대로 92,37.5426383,126.9518887,서교동
마포구,공덕역(5번출구),서울특별시 마포구 마포대로 100,37.5444535,126.9511752,공덕동
마포구,이대역(지하2층 역무실내),서울특별시 마포구 신촌로 180,37.556454,126.9454634,염리동
마포구,아현역,서울 마포구 신촌로 270,37.5570803,126.9557043,아현동
서대문구,서대문구 북가좌2동주민센터,서울 서대문구 응암로1길 10 북가좌제2동주민센터,37.5814484,126.9111701,북가좌동
서대문구,서대문구 시립서대문농아인복지관,서울 서대문구 수색로4가길 23 시립서대문농아인복지관,37.570672,126.9138368,남가좌동
서대문구,서대문구 북가좌1동주민센터,서울 서대문구 수색로 100-55 북가좌1동주민센터,37.5742842,126.9101562,북가좌동
서대문구,서대문구 남가좌1동주민센터,서울 서대문구 모래내로15길 37 DMC파크뷰자이,37.572301,126.9182776,남가좌동
서대문구,서대문구 남가좌2동주민센터,서울 서대문구 증가로10길 28 남가좌제2동주민센터,37.5783935,126.9238634,남가좌동
서대문구,서대문구 연희동주민센터,서울 서대문구 연희로 189 연희동주민센터,37.5739208,126.9353531,연희동
서대문구,서대문구청,서울 서대문구 연희로 248 서대문구청,37.5791728,126.9367815,연희동
서대문구,서대문구 홍은2동주민센터,서울 서대문구 모래내로 334 홍은2동주민센터,37.5800601,126.9341401,홍은동 
