EMD_CD,EMD_NM,TAXI_CNT
11710107,가락동,2774.0
11530103,가리봉동,92.0
11545101,가산동,156.0
11500104,가양동,13316.0
11110146,가회동,0.0
11170104,갈월동,0.0
11380104,갈현동,130.0
11740110,강일동,4199.0
11530107,개봉동,1845.0
11680103,개포동,2073.0
11500110,개화동,0.0
11710113,거여동,281.0
11110129,견지동,0.0
11110134,경운동,0.0
11110148,계동,0.0
11740102,고덕동,6269.0
11530106,고척동,2955.0
11440102,공덕동,308.0
11350103,공릉동,6581.0
11110127,공평동,0.0
11500108,공항동,594.0
11500111,과해동,0.0
11110155,관수동,0.0
11110135,관철동,0.0
11110128,관훈동,0.0
11215104,광장동,12.0
11140145,광희동1가,375.0
11140146,광희동2가,0.0
11110176,교남동,2400.0
11110180,교북동,0.0
11110182,구기동,0.0
11530102,구로동,11321.0
11380105,구산동,8256.0
11440113,구수동,0.0
11215103,구의동,12505.0
11215109,군자동,53.0
11530109,궁동,2426.0
11110103,궁정동,3696.0
11110131,권농동,0.0
11200109,금호동1가,34.0
11200110,금호동2가,10.0
11200111,금호동3가,0.0
11200112,금호동4가,0.0
11740105,길동,5598.0
11290134,길음동,5990.0
11110137,낙원동,0.0
11410120,남가좌동,2358.0
11140106,남대문로1가,0.0
11140115,남대문로2가,0.0
11140116,남대문로3가,0.0
11140117,남대문로4가,0.0
11140118,남대문로5가,0.0
11140128,남산동1가,0.0
11140129,남산동2가,1907.0
11140130,남산동3가,0.0
11170105,남영동,1282.0
11140112,남창동,0.0
11140140,남학동,0.0
11620103,남현동,0.0
11650109,내곡동,1885.0
11500106,내발산동,4427.0
11110118,내수동,0.0
11110114,내자동,0.0
11410105,냉천동,0.0
11440110,노고산동,0.0
11590101,노량진동,270.0
11380102,녹번동,253.0
11680108,논현동,25.0
11110109,누상동,0.0
11110110,누하동,0.0
11215102,능동,76.0
11140102,다동,0.0
11230105,답십리동,1069.0
11560117,당산동,0.0
11560111,당산동1가,153.0
11560112,당산동2가,0.0
11560113,당산동3가,0.0
11560114,당산동4가,46.0
11560115,당산동5가,0.0
11560116,당산동6가,0.0
11440118,당인동,0.0
11110117,당주동,0.0
11560133,대림동,4661.0
11590108,대방동,1240.0
11410113,대신동,0.0
11380106,대조동,518.0
11680106,대치동,270.0
11410112,대현동,0.0
11440108,대흥동,3764.0
11680118,도곡동,2852.0
11110116,도렴동,0.0
11560118,도림동,51.0
11320108,도봉동,9526.0
11200104,도선동,0.0
11170120,도원동,0.0
11440104,도화동,73.0
11545102,독산동,4029.0
11290103,돈암동,50.0
11110153,돈의동,0.0
11440121,동교동,0.0
11170132,동빙고동,0.0
11290116,동선동1가,48.0
11290117,동선동2가,0.0
11290118,동선동3가,0.0
11290119,동선동4가,0.0
